username,text
376masatot,stay new year holidayi look forward visit hotel much request would like high floor web site reserv resultmi timelin arriv day following1130 arriv hoteland deposit luggag repr recept saidw accept request time1545 challeng first checkin anoth repr told checkintim start 16001600 2nd challeng checkin new anoth repr said inspect room hasnt complet yet wait sever minut long line made wait checkin peopl appear time 1615 3rd challeng checkin next anoth repr said inspect isnt yetwait 510min answer oki wait herefront desk long line becom much longer1650 4th challeng checkin one tell anythingi tri talk anoth person stand next front desk wait 45 minuteswhyto tell truthi expect time littlebecau thought wait time time find highfloor room request 1700 checkin doneth room assign wasth lowest floor3rdther 20 floor hotel request higher floorsinc 2 month agobut answer lowest leve sadso sad attach pictur view roomif assign floor 4th floori think save sadnessbut 3rdthe lowest floor guest request high floori know season busyi dont want complain thatth hospit smile staff goodil stay hotel againmayb monthdear 376masatot thank much feedback recent stay us terribl sorri hear arriv experi request room high floor could fulfil definit typic st regi experi behalf entir team would like sincer apolog would love opportun welcom back hotel show true five star servic plea hesit contact directli melanierehbeinstregiscom anyth may assist sincer melani rehbeindirector roomsst regi new york
37774ron,stay juli 11 2005 room 627 room terribl shape cigarett burn carpet upholst chair look worn dirti shut window curtain face larg cockroach sixth floor less call front desk complet book tonight would move anoth room mainten gone day ill tri get 10 minut 45 minut later went downstair two peopl desk check anoth parti voic complaint told busi custom repli thought custom told nice night last time us druri
377karlt,ramada great place stay away home travel work need clean afford place sleep bring wife come napl clean quiet set alway stay come work relax karl chairman 5615965165 chi chi
383sandrog,littl pricey howev locat servic excel breakfast best least diamond level complementari highli recommend properti locat staff room excel thank take time write review stay delight know enjoy almost everyth stay current transit restaur tri new item process plea know breakfast servic improv main prioriti pleasur guest hope stay us againbest regard
387indy,blackwat inn milton red carpet decor amen get night main draw band blackwat play downtown milton concert seri everi friday night run 79pm
388shantam,wife stay hotel member staff rude morn shift ask speak manag call us back toilet stop work spider bed big problem contact manag serval attment
38allovertheplace,valetupon arriv may confu congest valet lane locat side howard street greet immedi warm welcom offer bottl water guy togeth front desk warm welcom quick accur review stay lobbi clean concierg immedi made
396ruby,room spaciou enough bed okay refrig microwav coffeemak complimentari breakfast said hotel older get actual key room yeah old room air condit window fan get hot room warmer day
398marvac,locat decent noi freeway loudand unsavori charact hang around late night
39chev,older motel kept great condit owner clean quiet park motorcycl right outsid room reasonalbl rate would definit recommend motorcyclistsrid lake cloudsworth ride nice scenic road area ask old towel owner clean bike access
3KidsM,daughter stay februari 2016 visit duquesn univ right campu conveni locat would highli recommend locat campu visit
3PeasMama,stay april fell love properti year ago stay westin kanaapali ocean resort want go back noth avail happi honua kai westin ground gorgeou plenti pool pool side servic cour
